Assemblage_Name	1613298-1-3	3866316-8414082-8374781	5857700-1-5094690	1-6680052-2	2-1-5117689	1-6760579-2	1-3-9282495	5857700-502996-3	577776-1-3	8462731-3-2	5857700-1502262-3	2-1-3	5857700-2028553-128410	171276-8414082-7975816	1-1-9643939	7748833-4-4	2-1-9314448	7216708-1-7975816	9028056-7469102-4567792	5857700-1-3	7567365-1-3	3866316-1-7975816	1-4-588492	3866316-8414082-7975816	4553632-7469102-2	3866316-8414082-7766893	4798911-2028553-128410	1-1570985-4	7211393-8414082-8672426	3866316-8414082-8672426	8929119-0-2	1-3-2	5857700-1-8768088	1-6824755-2	5952504-3-2	6679100-1-3	1-4-4	3866316-4674747-7975816	1-1-7975816	5857700-1-128410	2-1-1168794	2-1-7819610	5857700-1-7156729	9028056-3-2	1-2050665-9643939	3866316-8543375-7975816	3866316-5459538-7975816	5857700-7600171-3	3-0-2	9954363-0-6630532	1-4832600-2	5857700-1-6960395	5857700-8176341-3	9028056-7469102-2	26907-8414082-7975816
assemblage-346-732	0	0	0	0	0	0	0	0	0	11	0	8	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	9	0	0	0	0	73	27
assemblage-589-678	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	18	0	0	24	0	0	0	296	0	37	0	0	0	1	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	15
assemblage-553-456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-408-827	0	0	0	13	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	16	0	10	0	0	0	0	0	0	0	0	0	365	16	3	0	0	0	25
assemblage-183-759	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	228	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	81	12
assemblage-533-469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-386-339	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	193	0	10	5	0	0	0	0	53	0	0	0	23	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	19
assemblage-649-607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-156-455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	12
assemblage-903-841	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	6	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	24
assemblage-879-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	10	0	0	0	0	11	366	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	39	16
assemblage-846-749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	3	0	0	0	0	8	370	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	48	4
assemblage-315-251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	123	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	17
assemblage-901-389	0	0	0	24	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	378	8	5	0	0	0	26
assemblage-417-131	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	47	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4
assemblage-322-242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	19
assemblage-353-666	0	0	0	0	0	13	0	0	0	0	0	56	0	0	0	0	0	0	0	183	0	0	0	21	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-875-759	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	263	0	0	0	0	11	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	148	15
assemblage-520-551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	73	0	0	0	8	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	11
assemblage-594-641	2	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	25	0	0	0	0	0	0	0	287	14
assemblage-323-272	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	22	0	0	0	0	0	0	0	323	16
