Assemblage_Name	3-825984-2	1-2-600017	667985-2-0	1581759-2-4160978	4779043-2-0	1-2-8508308	1-2496825-3	2-8600665-1	3-3-2	887277-2496825-3	3-7628619-2	1-2-210006	2-4-7177737	3-3-5674464	3840620-4-6094288	0-1-0	1-2-2509824	0-2142910-0	0-2980545-0	3988491-3-2	0-5801320-1	7129940-2-0	3-3-8280483	0-1-6432484	7202287-3-2	5220143-3-2	5817480-1-0	3840620-335903-1	1-9391180-0	0-6040300-0	2-9250355-4	0-1-2788888	0-2-1	807526-2-0	2197359-3-5674464	3840620-4-1	2-3092540-1	1-1880518-0	2-4-1	2-4-4	2-0-4	1-4007708-0	1-2496825-6154100	2-4-1098832	2-1940404-1	1-9977624-3	2-9501971-1	7386862-0-4	1-2-5838455	650636-4-1	1-749490-3	1-2-3	1-2-0	3906497-2-0	0-2-4380871	0-2399781-0	1-2-3323407	1-2496825-5460886	2885977-4-1	1-2-5099040	3-4575315-2	1-6649167-0	3889758-1-0	1-761108-0	3134806-2-3
assemblage-579-365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-625-341	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	8	0	42	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	10	223	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-667-217	0	0	0	0	0	0	61	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	195	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	84	126	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-693-196	0	0	0	0	0	0	27	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	114	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	98	127	0	0	0	0	8	0	0	11	0	0	0	15
assemblage-837-445	0	0	0	0	0	0	33	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	27	0	0	71	0	0	0	0	0	0	0	0	0	0	0	14	59	105	0	0	0	0	14	0	0	0	0	0	0	9
assemblage-794-633	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	74	0	0	15	0	0	48	0	0	0	0	8	0	0	0	0	0	0	0	80	216	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-748-616	0	0	0	0	0	0	10	0	77	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	26	0	0	61	0	59	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-408-445	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	214	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-812-471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	302	0	0	0	0	0	0	9	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-212-412	0	0	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-602-378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	10	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-423-444	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	74	77	0	0	0	0	0	0	0	41	0	0	0	3
assemblage-135-356	0	0	0	0	0	0	12	0	30	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	30	0	0	83	0	27	0	0	0	0	0	0	0	0	0	0	94	7	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-575-957	0	38	0	0	0	0	22	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	91	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-135-358	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	54	0	0	0	0	2
assemblage-590-368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6
assemblage-575-481	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	98	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	201	0	0	0	0	0	0	0	19	0	0	0	6
assemblage-452-838	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	266	0	0	0	0	0	0	0	17	0	0	0	5
assemblage-740-198	0	0	0	0	0	0	53	0	12	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	22	0	0	73	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	160	105	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-563-474	0	0	0	0	0	0	6	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	58	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	272	0	0	0	0	0	0	0	3	0	0	0	8
