Assemblage_Name	856642-2757691-2485448	2-5029175-4	6922729-4-0	2120088-2757691-4	2-1012894-4	2-1-3	4003691-1-4	2-9823793-4	2-2-4374085	2520630-4-7757095	1-1-4	2-2757691-1686312	0-1-2	2-1737983-4	628139-2757691-4	9736702-1110788-4	2-4317178-1	4-9932594-2	5199077-2-4	2-5975874-4	2-7015184-2561806	2-0-1	3-4-7757095	1-4167850-4	150454-2-4	2-2757691-4	1-197153-4	2-2-6451082	9736702-2757691-4	6141344-7775752-6172702	2-2757691-8749631	2-3-3	2-4584324-4	7213399-2757691-4	1-1-333477	2-7775752-3660612	2-2-4	6267483-5471013-4	9736702-7138255-4	4089067-4577691-4	856642-2848389-4	2-2086668-4	2-3925605-6172702	4-8766722-2	2-259599-6172702	5762348-2-4	2-2757691-4957561	9850474-2757691-4	4-5129553-2	1689370-2-4	3-4-0	0-6726595-2	2-259138-4	2-2-6587324	4129655-2-7992896	4-1-0	2-2757691-6172702	2-2-2561806	2-7775752-6172702	2-7775752-7982313	856642-2757691-4	6980907-2-4	2-2-543286	7213399-2757691-3933246	2-2757691-9508521	2-2757691-5395786	2-1803270-1	2-5192510-4	2-2757691-5011264	8634332-2-4	2-1-5186231	2-2410682-4	2-2-4027806	2-2757691-8816004
assemblage-661-663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	23
assemblage-878-367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	8	0	0	0	0	0	0	0	0	30
assemblage-890-368	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	114	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	396	0	0	0	25	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-270-241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	11	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	30
assemblage-552-274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-851-1006	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-370-965	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	83	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-539-268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	36	0	0	0	0	0	0	21	0	0	0	0	0	17	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	358	22	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-374-948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-396-911	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-141-1001	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-871-379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	202	0	0	17	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
