Assemblage_Name	1807666-1-1	6334506-1-2	2-1-1807070	2712676-4-1	8139570-4-1	0-8184127-3	114927-4-1	9331677-3-3	3-4-1397596	0-3-9928162	614292-4-4	2-1108444-1	4-4-9553351	0-3-3519711	0-36734-3	4-8085772-1	2-7153720-2	3-5172071-4	7139811-3-3	1-3-1	9996851-1-1	4-3730190-1	1129080-1-2	2-1-2	2-1-1	4-4-6142845	3-4-3	3-4-4	2-1-2673443	4-4-5636814	2-1-806249	2-1-5138464	4-1498874-1	0-3-1780733	4-4-1	4988330-4-1	2-8336232-2	0-6687833-3	4-4-6414502	0-3-3	1-3-2364009	4-4-8013218	2-4907191-2	9129848-4-1	1179199-4-1
assemblage-690-342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	129	0	0	214	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0
assemblage-797-258	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	333	0	0	0	0	123	0	0	0	0	0
assemblage-508-798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	1	0	0	0	0	0	103	0	0	0	0	188	0	0	0	0	0
assemblage-782-274	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	328	0	0	0	0	26	0	0	0	0	0
assemblage-420-639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	319	0	0	0	0	173	0	0	0	0	0
assemblage-771-248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	380	0	0	0	0	4	0	0	0	0	0
assemblage-886-516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	0	0	332	0	0	0	0	0	0	94	0	0	0	0	55	0	0	0	0	0
assemblage-291-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	12	69	0	0	0	0	0	0	109	0	76	0	0	1	0	0	0	0	0
assemblage-413-610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	209	0	0	86	0	0	9	0	0	0	94	0	0	0	0	95	0	0	0	0	0
assemblage-182-455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	371	0	0	0	0	27	0	0	0	0	0
assemblage-898-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	3	0	0	141	0	0	0	0	0	0	228	0	12	0	0	52	0	0	0	0	0
assemblage-195-426	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	394	1	0	0	0	84	0	0	0	0	0
assemblage-529-794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	100	0	0	0	0	114	0	0	0	0	0
assemblage-884-199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	114	0	0	221	0	0	0	0	0	0	135	0	0	0	0	28	0	0	0	0	0
assemblage-452-848	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	9	0	0	5	0	0	0	390	0	0	0	9	2	0	0	0	0	0
assemblage-666-337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	90	0	0	196	0	0	0	0	0	1	0	0	0	0	0	207	0	0	0	0	0
assemblage-849-602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	27	0	0	39	0	0	0	0	0	0	150	0	0	0	0	267	0	0	0	0	0
assemblage-279-758	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	35	19	0	0	0	0	0	0	109	0	133	0	0	2	0	0	0	0	0
